Viburnum,Automeris-io,Celastrina-argiolus,Paonias-excaecata,Callosamia-promethea,Apatelodes-torrefacta,Samia-cynthia,Darapsa-choerilus,Incisalia-henrici,Acerra-normalis,Agriopodes-fallax,Synanthedon-fatifera,Glyptocera-consobrinella,Hemaris-thysbe,Phlogophora-periculosa,Synanthedon-viburni
Aquilegia,Argyrotaenia-citrana,Acleris-albicomana,Papaipema-leucostigma,Pyrrhia-exprimens,Amphipyra-tragopoginis,,,,,,,,,,
Uvularia,,,,,,,,,,,,,,,
Senna,Uresiphita-reversalis,Strymon-melinus,Anabasis-ochrodesma,Phoebis-sennae,Pyroderces-badia,Fundella-argentina,Fundella-pellucens,Ectomyelois-ceratoniae,Selenisa-sueroides,Eurema-nicippe,Tortilia-viatrix,Eurema-boisduvalianum,,,
Silene,Caryocolum-protecta,Coleophora-apicialbella,Hadena-ectypa,Hadena-capsularis,,,,,,,,,,,
Rhus,Hyalophora-cecropia,Malacosoma-californica,Celastrina-argiolus,Eacles-imperialis,Hyalophora-euryalus,Moodna-ostrinella,Spilonota-ocellana,Citheronia-regalis,Marathyssa-inficita,Hemileuca-neumoegeni,Episimus-argutana,Dichorda-illustraria,Caloptilia-ovatiella,Hemileuca-chinatiensis,Saturnia-anona
Rubus,Hyalophora-cecropia,Automeris-io,Malacosoma-californica,Papilio-rutulus,Choristoneura-rosaceana,Paonias-excaecata,Hemileuca-eglanterina,Argyrotaenia-franciscana,Argyrotaenia-citrana,Trichordestra-tacoma,Apatelodes-torrefacta,Amphipyra-pyramidoides,Lithophane-fagina,Spilonota-ocellana,Orthosia-rubescens
Rhexia,Heliothis-virescens,Heliothis-subflexa,,,,,,,,,,,,,
Baptisia,Automeris-io,Uresiphita-reversalis,Etiella-zinckenella,Catocala-consors,Grapholita-tristrigana,Papaipema-baptisiae,,,,,,,,,
Iris,Moodna-ostrinella,Endothenia-hebesana,Macronoctua-onusta,Amphipoea-keiferi,,,,,,,,,,,
Cornus,Hyalophora-cecropia,Automeris-io,Antheraea-polyphemus,Celastrina-argiolus,Morrisonia-confusa,Hemileuca-nevadensis-complex,Synanthedon-scitula,Amphipyra-pyramidoides,Samia-cynthia,Hyphantria-cunea,Haploa-lecontei,Synanthedon-geliformis,Orthosia-garmani,Antaeotricha-leucillana,Catocala-ultronia
Cercis,Automeris-io,Orgyia-leucostigma,Incisalia-henrici,Papilio-troilus,Sosipatra-thurberiae,Norape-ovina,Fascista-cercerisella,Desmia-funeralis,,,,,,,
Calamagrostis,Carterocephalus-palaemon,,,,,,,,,,,,,,
Danthonia,Hesperia-columbia,Hesperia-lindseyi,,,,,,,,,,,,,
Ilex,Celastrina-argiolus,Hemileuca-nevadensis-complex,Argyrotaenia-citrana,Oiketicus-abbotii,Samia-cynthia,Hyphantria-cunea,Prolimacodes-badia,Incisalia-henrici,Sphinx-luscitiosa,Rhopobota-unipunctana,Dolba-hyloeus,Cicinnus-melsheimeri,Argyrotaenia-velutinana,Harrisimemna-trisignata,Synanthedon-kathyae
Platanus,Hyalophora-cecropia,Automeris-io,Antheraea-polyphemus,Papilio-rutulus,Eacles-imperialis,Actias-luna,Oiketicus-abbotii,Pandemis-lamprosana,Thyridopteryx-ephemeraeformis,Samia-cynthia,Hyphantria-cunea,Citheronia-regalis,Halysidota-tessellaris,Synanthedon-resplendens,Apantesis-nais
Eurybia,,,,,,,,,,,,,,,
Hydrangea,Darapsa-versicolor,Herpetogramma-bipunctalis,,,,,,,,,,,,,
Houstonia,,,,,,,,,,,,,,,
Juniperus,Hyalophora-cecropia,Eacles-imperialis,Oiketicus-abbotii,Thyridopteryx-ephemeraeformis,Mitoura-siva,Mitoura-grynea,Cudonigera-houstonana,Oiketicus-sp.,Coleotechnites-australis,Gloveria-arizonensis,Dichomeris-marginella,Sphinx-sequoiae,Periploca-nigra,Mitoura-loki,Semiothisa-excurvata
Itea,,,,,,,,,,,,,,,
Liatris,Synchlora-aerata,Schinia-trifascia,Carmenta-anthracipennis,Papaipema-beeriana,Schinia-gloriosa,,,,,,,,,,
Morus,Hyalophora-cecropia,Automeris-io,Dryocampa-rubicunda,Hyphantria-cunea,Euzophera-semifuneralis,Glyphodes-sibillalis,,,,,,,,,
Lupinus,Celastrina-argiolus,Argyrotaenia-franciscana,Plebejus-icarioides,Uresiphita-reversalis,Glaucopsyche-piasus,Chionodes-braunella,Satyrium-fuliginosum,Strymon-melinus,Lycaeides-melissa,Glaucopsyche-lygdamus,Etiella-zinckenella,Seirarctia-echo,Arctia-caja,Syncopacma-nigrella,Grapholita-edwardsiana
